Source,Target,Type,Id,Label,timeset,Weight
651928572,1014487974,Undirected,166,,,1
654961381,837215366,Undirected,167,,,1
657764132,764613469,Undirected,168,,,1
657927805,723837998,Undirected,169,,,1
657927805,749836657,Undirected,170,,,1
657927805,831960052,Undirected,171,,,1
657927805,838323538,Undirected,172,,,1
670161715,708985502,Undirected,173,,,1
672024580,747559001,Undirected,174,,,1
677924538,687749747,Undirected,175,,,1
677924538,692784215,Undirected,176,,,1
677924538,747203032,Undirected,177,,,1
677924538,747431762,Undirected,178,,,1
677924538,749709459,Undirected,179,,,1
677924538,750539119,Undirected,180,,,1
677924538,787017327,Undirected,181,,,1
677924538,1003671151,Undirected,182,,,1
677924538,1014487974,Undirected,183,,,1
677940123,683629415,Undirected,184,,,1
677940123,764940513,Undirected,185,,,1
677940123,797254744,Undirected,186,,,1
530759938,1113778394,Undirected,187,,,1
531013568,1016011620,Undirected,188,,,1
531013568,1129950296,Undirected,189,,,1
531013568,1136798514,Undirected,190,,,1
531013568,1145903339,Undirected,191,,,1
534275844,1038995126,Undirected,192,,,1
534275844,1042639554,Undirected,193,,,1
534275844,1093822348,Undirected,194,,,1
534275844,1131333151,Undirected,195,,,1
534300238,1038995126,Undirected,196,,,1
534300238,1042639554,Undirected,197,,,1
534300238,1131333151,Undirected,198,,,1
540657595,1044415093,Undirected,199,,,1
540657595,1127840575,Undirected,200,,,1
540657595,1149921239,Undirected,201,,,1
542798668,1123328912,Undirected,202,,,1
544552466,1080853603,Undirected,203,,,1
545577860,1052826653,Undirected,204,,,1
545577860,1059917838,Undirected,205,,,1
545577860,1076446041,Undirected,206,,,1
545577860,1083880276,Undirected,207,,,1
545577860,1105150084,Undirected,208,,,1
545577860,1163640289,Undirected,209,,,1
546688440,1044794512,Undirected,210,,,1
546688440,1167087971,Undirected,211,,,1
551074991,1122583987,Undirected,212,,,1
551799461,1045258555,Undirected,213,,,1
551799461,1131353634,Undirected,214,,,1
557874377,1052826653,Undirected,215,,,1
557874377,1076446041,Undirected,216,,,1
557874377,1163640289,Undirected,217,,,1
559392060,1044794512,Undirected,218,,,1
559392060,1167087971,Undirected,219,,,1
560236619,1123328912,Undirected,220,,,1
569925919,1149246300,Undirected,221,,,1
570503073,1154330771,Undirected,222,,,1
572592023,1044415093,Undirected,223,,,1
572592023,1122583987,Undirected,224,,,1
572592023,1149921239,Undirected,225,,,1
574369900,1044794512,Undirected,226,,,1
574369900,1167087971,Undirected,227,,,1
577401938,1044415093,Undirected,228,,,1
577401938,1112952868,Undirected,229,,,1
577882922,1167087971,Undirected,230,,,1
604678719,1029406450,Undirected,231,,,1
604678719,1038239684,Undirected,232,,,1
604678719,1123328912,Undirected,233,,,1
604678719,1131353634,Undirected,234,,,1
604678719,1149246300,Undirected,235,,,1
604678719,1177897875,Undirected,236,,,1
611832495,1031752241,Undirected,237,,,1
626452503,1038239684,Undirected,238,,,1
626452503,1147587294,Undirected,239,,,1
631274226,1136798514,Undirected,240,,,1
631274226,1145903339,Undirected,241,,,1
633000389,1031752241,Undirected,242,,,1
633000389,1122583987,Undirected,243,,,1
635630398,1076446041,Undirected,244,,,1
639647750,1038239684,Undirected,245,,,1
640611955,1038239684,Undirected,246,,,1
640611955,1123328912,Undirected,247,,,1
641527218,1029406450,Undirected,248,,,1
641527218,1038239684,Undirected,249,,,1
641527218,1123328912,Undirected,250,,,1
641527218,1149246300,Undirected,251,,,1
645684047,1136798514,Undirected,252,,,1
645684047,1145903339,Undirected,253,,,1
648989580,1112952868,Undirected,254,,,1
651928572,1029406450,Undirected,255,,,1
651928572,1147587294,Undirected,256,,,1
654961381,1041439753,Undirected,257,,,1
654961381,1177866142,Undirected,258,,,1
657927805,1016011620,Undirected,259,,,1
657927805,1145903339,Undirected,260,,,1
672024580,1122583987,Undirected,261,,,1
677924538,1029406450,Undirected,262,,,1
677924538,1147587294,Undirected,263,,,1
677940123,1052826653,Undirected,264,,,1
677940123,1059917838,Undirected,265,,,1
677940123,1076446041,Undirected,266,,,1
677940123,1163640289,Undirected,267,,,1
678200621,1122583987,Undirected,268,,,1
531013568,1184807870,Undirected,269,,,1
531013568,1212451626,Undirected,270,,,1
531013568,1221672726,Undirected,271,,,1
531013568,1359487118,Undirected,272,,,1
531013568,1407975851,Undirected,273,,,1
540657595,1258810698,Undirected,274,,,1
540657595,1368392337,Undirected,275,,,1
544552466,1285279307,Undirected,276,,,1
545577860,1198958506,Undirected,277,,,1
545577860,1255341778,Undirected,278,,,1
545577860,1269844955,Undirected,279,,,1
545577860,1304205928,Undirected,280,,,1
545577860,1331294568,Undirected,281,,,1
545577860,1354065535,Undirected,282,,,1
546688440,1352756247,Undirected,283,,,1
551074991,1183573359,Undirected,284,,,1
551074991,1249328051,Undirected,285,,,1
551074991,1258810698,Undirected,286,,,1
551074991,1368392337,Undirected,287,,,1
557874377,1198958506,Undirected,288,,,1
557874377,1331294568,Undirected,289,,,1
559392060,1352756247,Undirected,290,,,1
560236619,1331612975,Undirected,291,,,1
570503073,1239542029,Undirected,292,,,1
572592023,1249328051,Undirected,293,,,1
572592023,1258810698,Undirected,294,,,1
572592023,1313681095,Undirected,295,,,1
572592023,1314971001,Undirected,296,,,1
572592023,1368392337,Undirected,297,,,1
572802652,1322317958,Undirected,298,,,1
577882922,1352756247,Undirected,299,,,1
583317985,1387805033,Undirected,300,,,1
604678719,1220133765,Undirected,301,,,1
604678719,1331612975,Undirected,302,,,1
611832495,1368392337,Undirected,303,,,1
611832495,1377084623,Undirected,304,,,1
613852547,1186123866,Undirected,305,,,1
618222551,1223201854,Undirected,306,,,1
618222551,1335220301,Undirected,307,,,1
618222551,1368003748,Undirected,308,,,1
618222551,1370401557,Undirected,309,,,1
618222551,1414106741,Undirected,310,,,1
626452503,1331612975,Undirected,311,,,1
631274226,1184807870,Undirected,312,,,1
631274226,1221672726,Undirected,313,,,1
631274226,1359487118,Undirected,314,,,1
631274226,1407975851,Undirected,315,,,1
635630398,1331294568,Undirected,316,,,1
640611955,1331612975,Undirected,317,,,1
640887158,1313681095,Undirected,318,,,1
640887158,1377084623,Undirected,319,,,1
641527218,1220133765,Undirected,320,,,1
641527218,1331612975,Undirected,321,,,1
645684047,1184807870,Undirected,322,,,1
645684047,1221672726,Undirected,323,,,1
645684047,1359487118,Undirected,324,,,1
645684047,1407975851,Undirected,325,,,1
648989580,1319796824,Undirected,326,,,1
651928572,1331612975,Undirected,327,,,1
654961381,1186123866,Undirected,328,,,1
654961381,1350982013,Undirected,329,,,1
657927805,1184807870,Undirected,330,,,1
657927805,1221672726,Undirected,331,,,1
657927805,1359487118,Undirected,332,,,1
657927805,1407975851,Undirected,333,,,1
670161715,1285279307,Undirected,334,,,1
670161715,1365325329,Undirected,335,,,1
672024580,1249328051,Undirected,336,,,1
672024580,1258810698,Undirected,337,,,1
672024580,1368392337,Undirected,338,,,1
672024580,1377084623,Undirected,339,,,1
677924538,1220133765,Undirected,340,,,1
677924538,1331612975,Undirected,341,,,1
677940123,1198958506,Undirected,342,,,1
677940123,1331294568,Undirected,343,,,1
678200621,1211584637,Undirected,344,,,1
678200621,1249328051,Undirected,345,,,1
678200621,1258810698,Undirected,346,,,1
678200621,1313681095,Undirected,347,,,1
678200621,1314971001,Undirected,348,,,1
530759938,1528694945,Undirected,349,,,1
531013568,1455608636,Undirected,350,,,1
531013568,1649949278,Undirected,351,,,1
534275844,1530265592,Undirected,352,,,1
534275844,1637473885,Undirected,353,,,1
534300238,1530265592,Undirected,354,,,1
537347192,1497567752,Undirected,355,,,1
537347192,1529240177,Undirected,356,,,1
537347192,1539760646,Undirected,357,,,1
537347192,1662637203,Undirected,358,,,1
540657595,1500960965,Undirected,359,,,1
540657595,1625853016,Undirected,360,,,1
542798668,1541677055,Undirected,361,,,1
542798668,1587877194,Undirected,362,,,1
542798668,1613107211,Undirected,363,,,1
542798668,1640977393,Undirected,364,,,1
542798668,1650095361,Undirected,365,,,1
542798668,1662637203,Undirected,366,,,1
544552466,1451062492,Undirected,367,,,1
544552466,1547213526,Undirected,368,,,1
546093207,1662637203,Undirected,369,,,1
546688440,1467700151,Undirected,370,,,1
551074991,1472438754,Undirected,371,,,1
551074991,1500960965,Undirected,372,,,1
551074991,1584580565,Undirected,373,,,1
551074991,1625853016,Undirected,374,,,1
551074991,1637473885,Undirected,375,,,1
560236619,1541677055,Undirected,376,,,1
560236619,1587877194,Undirected,377,,,1
560236619,1613107211,Undirected,378,,,1
560236619,1662637203,Undirected,379,,,1
561396745,1541677055,Undirected,380,,,1
561396745,1624542026,Undirected,381,,,1
561396745,1640977393,Undirected,382,,,1
561396745,1650095361,Undirected,383,,,1
561396745,1662637203,Undirected,384,,,1
562434055,1656878765,Undirected,385,,,1
